mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l2_leaf_reg,param_learning_rate,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
19.844430526097614,0.11768443983970071,0.0036704540252685547,0.0009437522519330372,5,0.11,2,"{'l2_leaf_reg': 5, 'learning_rate': 0.11, 'max_depth': 2}",0.8224238345772668,0.8303945249597423,0.8244970921334557,0.8257718172234881,0.0033765534039600182,1,0.8553157100344033,0.8531905388452006,0.8557764378098998,0.8547608955631679,0.001126227533857249
19.713848114013672,0.2678982003258665,0.0036918322245279946,0.000488395840970584,5,0.060000000000000005,2,"{'l2_leaf_reg': 5, 'learning_rate': 0.060000000000000005, 'max_depth': 2}",0.8209127615318732,0.8291941150636803,0.8245521885521886,0.8248863550492475,0.003389095701954636,2,0.8519575672025763,0.8493620146262354,0.8508363667906521,0.8507186495398212,0.0010628942586149307
16.66089630126953,0.1662269611697877,0.0033362706502278647,0.00047232569234108,1,0.060000000000000005,2,"{'l2_leaf_reg': 1, 'learning_rate': 0.060000000000000005, 'max_depth': 2}",0.820636241282271,0.8295844922656517,0.8239449035812674,0.8247218790430634,0.003694190670640252,3,0.8519878152364541,0.846782840182369,0.848354419399629,0.8490416916061507,0.002179785714667806
21.831144730250042,0.5251370760112004,0.0033365885416666665,0.00047226952663482016,1,0.060000000000000005,4,"{'l2_leaf_reg': 1, 'learning_rate': 0.060000000000000005, 'max_depth': 4}",0.82289612137526,0.8241911872346654,0.8266813590449954,0.8245895558849736,0.00157078096080839,4,0.8773668322670137,0.861467213365564,0.8634030962339518,0.8674123806221766,0.007083089781636313
47.27558636665344,1.7925208196530764,0.004177172978719075,0.00024540722365121035,3,0.01,7,"{'l2_leaf_reg': 3, 'learning_rate': 0.01, 'max_depth': 7}",0.8220677841673802,0.8238837651881131,0.8276069788797061,0.8245195094117331,0.002305615977515837,5,0.8787347155768208,0.8750637985373765,0.8684949673828253,0.8740978271656742,0.0042357947925837965
36.966797510782875,0.5406345381901041,0.005754709243774414,0.0013387019996034674,5,0.01,6,"{'l2_leaf_reg': 5, 'learning_rate': 0.01, 'max_depth': 6}",0.8217961580814879,0.8252940028302347,0.8260826446280991,0.8243909351799404,0.0018628186732879827,6,0.8701995759164544,0.8706098344603899,0.8635658919464075,0.8681251007744173,0.003228195251351165
20.404536565144856,0.8682938487962941,0.004114548365275065,0.0008591776936779628,5,0.16000000000000003,2,"{'l2_leaf_reg': 5, 'learning_rate': 0.16000000000000003, 'max_depth': 2}",0.8213299889881318,0.827893671009613,0.8236486072849709,0.8242907557609053,0.0027178111804216456,7,0.857917040947894,0.856440745387228,0.85762919351676,0.8573289932839607,0.0006389847574812729
18.65421923001607,0.23867089557047505,0.003336350123087565,0.000472100909153797,1,0.16000000000000003,2,"{'l2_leaf_reg': 1, 'learning_rate': 0.16000000000000003, 'max_depth': 2}",0.819134956564297,0.8303737861708876,0.8233327211509031,0.8242804879620292,0.0046369184578912365,8,0.8571495352802068,0.851512193629326,0.8533461085716065,0.854002612493713,0.002347786655837772
17.054400046666462,0.19426005960793685,0.003681659698486328,0.0004799148656033272,1,0.11,2,"{'l2_leaf_reg': 1, 'learning_rate': 0.11, 'max_depth': 2}",0.8206007585953751,0.8287073634899722,0.8233265993265992,0.8242115738039821,0.0033681494027127078,9,0.8565360196031703,0.8515486062237997,0.8534520937727739,0.8538455731999145,0.0020550251578133113
19.09104824066162,0.10599002497988924,0.0030471483866373696,6.346662968499951e-05,3,0.060000000000000005,2,"{'l2_leaf_reg': 3, 'learning_rate': 0.060000000000000005, 'max_depth': 2}",0.8202826379542396,0.8297333235739034,0.822105907560453,0.8240406230295321,0.00409358910412775,10,0.8538045304832963,0.848443132095101,0.8508259820735349,0.8510245482173108,0.002193280580063606
51.3410918712616,0.563379558546268,0.00450889269510905,0.0007148682374681803,5,0.01,7,"{'l2_leaf_reg': 5, 'learning_rate': 0.01, 'max_depth': 7}",0.8239153309678209,0.8230932513541209,0.8245240281603917,0.8238442034941111,0.0005862734887848033,11,0.8835710401046155,0.880537315259631,0.8835134063643655,0.8825405872428705,0.001416722600729961
34.9410392443339,1.895291749783545,0.004326343536376953,0.00045586031349382984,3,0.01,6,"{'l2_leaf_reg': 3, 'learning_rate': 0.01, 'max_depth': 6}",0.8207023124923529,0.8241570292294931,0.8264009794918885,0.8237534404045782,0.002343909035151339,12,0.8690192915238288,0.8680324959456565,0.8619455706432599,0.8663324527042485,0.003128044334835212
18.529845873514812,0.31512984042766523,0.003850142161051432,0.00021607286528878706,1,0.21000000000000002,2,"{'l2_leaf_reg': 1, 'learning_rate': 0.21000000000000002, 'max_depth': 2}",0.8181891594273827,0.8312094373688577,0.8213823079277626,0.823593634908001,0.005540721052863228,13,0.855454728775963,0.8533836173923687,0.8582363940352629,0.8556915800678647,0.0019882042462670566
29.382115443547566,0.1521815922418081,0.003946145375569661,8.23296634226322e-05,5,0.01,5,"{'l2_leaf_reg': 5, 'learning_rate': 0.01, 'max_depth': 5}",0.8196047962804356,0.8256160640218612,0.8255561677379859,0.8235923426800942,0.0028197271272563935,14,0.8598382494026776,0.8615889966647288,0.8585360236673812,0.8599877565782625,0.0012508464673430335
