mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.8371228694915773,0.08181612321585893,0.0033878803253173826,0.00037101483726518564,0.1,2,300,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 300}",0.8244156814784618,0.8251423201222399,0.8365030779172193,0.8223718668163114,0.8310954664490017,0.8279056825566468,0.005187086357166789,1,0.8550354783335117,0.8535726125207191,0.8539848883815375,0.8575584615090824,0.8537086271173134,0.8547720135724329,0.0014847643237843812
2.307612085342407,0.05815121247237441,0.003203582763671875,0.00040009042715311857,0.1,2,250,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 250}",0.8249116727816278,0.8250476654091112,0.8364486617011869,0.8222630343842464,0.8304220657756012,0.8278186200103548,0.005064555512181863,2,0.8524546184657127,0.8508687152025161,0.8512082717120771,0.854700791227538,0.851650671662851,0.8521766136541389,0.0013692084247492872
1.9255911827087402,0.09004542417484249,0.0032034873962402343,0.00040025713899915447,0.1,2,200,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 200}",0.8246059247180323,0.8226407312752695,0.8351902867054382,0.8218719178315137,0.8299323198313098,0.8268482360723126,0.005031822362892468,3,0.8496167338199613,0.8479257512006461,0.8479570033927938,0.8516464280182392,0.8494997803913913,0.8493291393646064,0.0013663023895839825
0.9773228645324707,0.017109355926471146,0.0029077529907226562,0.00019133277398980799,0.1,4,150,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 150}",0.8212596820220139,0.8268258218057414,0.8341155664387987,0.8209230350644492,0.8293201374009455,0.8264888485463897,0.004992374898207146,4,0.8566731357956775,0.8549243486761019,0.8554964745922389,0.8588580776714274,0.8570942067885583,0.8566092487048007,0.0013692079430691955
2.557915687561035,0.09111464238342269,0.003403329849243164,0.0004902520398450727,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.8194251936404402,0.8285634118967452,0.8337550590075843,0.8192701425024657,0.8314151617181921,0.8264857937530856,0.006055990091600296,5,0.8646143736915295,0.863002677546857,0.8631738642415652,0.8662952770357294,0.8648257029066844,0.8643823790844731,0.0012061194417961095
3.242983865737915,0.10851753556908827,0.003603696823120117,0.0004897846745234291,0.1,3,250,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 250}",0.8193096888164152,0.8285431287439319,0.8327177498894671,0.8185083154780124,0.8319185117164916,0.8261994789288636,0.006120638689201994,6,0.8696430178401938,0.8682181563177356,0.8685569274315553,0.8715247202907744,0.8710723477751632,0.8698030339310845,0.0013164790285241565
3.707848596572876,0.12478718467456762,0.0034039974212646484,0.0004899988150299686,0.1,3,300,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",0.8187457534991167,0.8275289711032683,0.8331598816447301,0.8207733904703602,0.8304356698296093,0.8261287333094168,0.005534175689018366,7,0.8733595833948834,0.8724573930043776,0.871643117975442,0.8750552204255102,0.8755351766310979,0.8736100982862623,0.001486929948043384
0.8225898265838623,0.023823679582111585,0.002796363830566406,0.0002537899825017355,0.1,3,150,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 150}",0.822200706617747,0.8226441118007383,0.8330374451586573,0.8215148114138013,0.83084039043635,0.8260474930854589,0.004873546315276552,8,0.8483691767226815,0.8446436312635471,0.8479011994661495,0.8510860547472592,0.8493351269804559,0.8482670378360186,0.002114758426903261
0.4632412433624268,0.016529689998768228,0.0032031059265136717,0.00040044787384890704,0.5,3,50,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 50}",0.8228597635548307,0.8270556975376253,0.8355814032581709,0.81497466244941,0.8292725232119171,0.8259488100023908,0.0068561395087310744,9,0.859366696040927,0.8543503761315823,0.8507826341575199,0.8586560801879086,0.8546316198203665,0.8555574812676608,0.003137671735914529
0.4291391372680664,0.005965981745193448,0.003403377532958984,0.0004902130521619546,0.5,2,50,"{'learning_rate': 0.5, 'max_depth': 2, 'n_estimators': 50}",0.8205870362821035,0.8214102200045974,0.8353365302860252,0.8228310036390842,0.8277930823385369,0.8255915745100694,0.005476507640887067,10,0.8434027194112923,0.8411224446427812,0.8433969950752505,0.8495504919445015,0.845475956570541,0.8445897215288733,0.0028371899862643596
0.5855765819549561,0.007469839000939497,0.003017711639404297,2.978511313431386e-05,0.5,2,100,"{'learning_rate': 0.5, 'max_depth': 2, 'n_estimators': 100}",0.8177843456991438,0.8280191472962557,0.8358432812978268,0.8167465904839643,0.8293575485494679,0.8255501826653318,0.007271191922428599,11,0.8553058743426871,0.8499634493603637,0.8486858493548599,0.8584237406454158,0.8505659961000905,0.8525889819606836,0.0036782128946158837
0.7352173805236817,0.012957561381417628,0.003076791763305664,0.0001480579760147512,0.1,4,100,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",0.821116999592336,0.8248144091517586,0.8293983607114921,0.8219841512770805,0.8261027786280312,0.8246833398721396,0.0029754935428046962,12,0.851351385768935,0.8500514258999532,0.8498331186756434,0.8542736683973664,0.8522914619992235,0.8515602121482242,0.0016248364485870782
