mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l2_leaf_reg,param_learning_rate,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
31.404910612106324,0.6498089300506107,0.003979158401489258,0.0002710718548933484,5,0.01,5,"{'l2_leaf_reg': 5, 'learning_rate': 0.01, 'max_depth': 5}",0.8255707297187118,0.828012386245318,0.8249226269428288,0.8255620174812093,0.8267591742339218,0.8261653869243979,0.0010978264079050711,1,0.8605514295756352,0.8550669386714268,0.8589064552200011,0.8573288803355874,0.8631131801236175,0.8589933767852536,0.0027420914680432993
21.83623399734497,0.145043044045142,0.0038034915924072266,0.000748837999109884,3,0.05,3,"{'l2_leaf_reg': 3, 'learning_rate': 0.05, 'max_depth': 3}",0.8262841418671014,0.8302367720038404,0.8238921198517157,0.8202972485800768,0.8267047580178893,0.8254830080641249,0.0032910723676367734,2,0.8576874391927343,0.8468107441880233,0.8444076190395359,0.8513882022436149,0.8618587587763875,0.8524305526880591,0.006535474460538319
18.626969003677367,0.08204253919254537,0.004004240036010742,5.001110306597479e-07,3,0.05,2,"{'l2_leaf_reg': 3, 'learning_rate': 0.05, 'max_depth': 2}",0.8252412012501699,0.8298040647438238,0.8229466380981534,0.8208686188484168,0.8261027786280312,0.824992660313719,0.0030211809867340227,3,0.8507984959699533,0.8420281354923711,0.8394066960468328,0.846951683984273,0.853485411410736,0.8465340845808333,0.005249452980186581
22.08937978744507,0.14022611934973772,0.004437160491943359,0.0008795541728849572,5,0.05,3,"{'l2_leaf_reg': 5, 'learning_rate': 0.05, 'max_depth': 3}",0.8257337953526294,0.8295809500628778,0.8233615617454001,0.8202088222290242,0.8260245553174846,0.8249819369414834,0.0031052054899320357,4,0.8596742343590553,0.845933103829317,0.8438712223606122,0.8502445400207514,0.860867655577316,0.8521181512294105,0.006977467802372959
25.911002492904665,0.13157667733798414,0.004319381713867187,0.0008562934014284628,5,0.01,4,"{'l2_leaf_reg': 5, 'learning_rate': 0.01, 'max_depth': 4}",0.8254280472890339,0.8266060876502643,0.8222324252627282,0.8236982620821004,0.8265585144373023,0.8249046673442857,0.0017029538590528873,5,0.8568579983733792,0.8476656466488163,0.8472580751252405,0.85140454027537,0.8565696923145475,0.8519511905474706,0.004149635333533407
24.705039691925048,1.2928379375132761,0.003516864776611328,0.0006551554349558803,3,0.05,4,"{'l2_leaf_reg': 3, 'learning_rate': 0.05, 'max_depth': 4}",0.8251630656339178,0.8292902248725541,0.8252389211985172,0.8189028330442472,0.8256130326837398,0.8248416154865952,0.0033441150962361618,6,0.867167854371586,0.8496060181053169,0.847993923100916,0.8582245015308949,0.8678378418520962,0.8581660277921621,0.008382431244485558
31.600460290908813,0.6587051493409186,0.004114913940429688,0.00047844704186228855,3,0.01,5,"{'l2_leaf_reg': 3, 'learning_rate': 0.01, 'max_depth': 5}",0.8252683788558227,0.8265249550390112,0.8209876543209876,0.8247593782947318,0.8261265857225454,0.8247333904466198,0.0019732269942745505,7,0.8593227619954802,0.8526987972289515,0.8523451441035619,0.8558684300424575,0.8627857829418217,0.8566041832624546,0.003988373913063063
17.6350136756897,0.4393127776197663,0.0035706043243408205,0.000533425847247961,1,0.05,2,"{'l2_leaf_reg': 1, 'learning_rate': 0.05, 'max_depth': 2}",0.8254857997010463,0.8289690749530108,0.8225963337074449,0.8207563854028501,0.8256198347107437,0.8246854856950192,0.002816559342734252,8,0.8509481264145914,0.8403784691232097,0.8402409965775006,0.8447810597653689,0.8518993492370988,0.845649600223554,0.004998518211110894
25.804135131835938,0.3474334334333782,0.00400390625,4.4220058896521113e-07,3,0.01,4,"{'l2_leaf_reg': 3, 'learning_rate': 0.01, 'max_depth': 4}",0.825390678081261,0.8254905142455343,0.8209604462129715,0.8238275005951774,0.8264564840322416,0.8244251246334372,0.00192639147327985,9,0.8556618037833369,0.8461609078158867,0.8441315699575423,0.8511412221272119,0.8565414720778793,0.8507273951523715,0.004953399810093931
21.97133512496948,0.15879239946137996,0.004008960723876953,1.0400516927314873e-05,5,0.01,3,"{'l2_leaf_reg': 5, 'learning_rate': 0.01, 'max_depth': 3}",0.824466639489061,0.8267683528727705,0.8208720198619189,0.8221405978981736,0.8271570928136586,0.8242809405871165,0.0024777313384643424,10,0.8468414604950156,0.8414197373454037,0.840959445610268,0.8452255815384485,0.8499292372260993,0.844875092443047,0.0033706258878645804
18.45538830757141,0.2098400526915288,0.003951835632324219,0.0013104058878495573,5,0.05,2,"{'l2_leaf_reg': 5, 'learning_rate': 0.05, 'max_depth': 2}",0.8247384155455904,0.8314199559179479,0.8209536441859675,0.8193891779750365,0.8248239975512702,0.8242650382351625,0.004158574574727426,11,0.8518690434348529,0.8436542139487441,0.8402798259256979,0.8455260315769595,0.8546810582800932,0.8472020346332695,0.005310927548165047
24.522333288192748,0.40984826332603386,0.0037922382354736326,0.00039506873371718623,1,0.01,4,"{'l2_leaf_reg': 1, 'learning_rate': 0.01, 'max_depth': 4}",0.8249354531865741,0.8249090638648872,0.821491004319287,0.8233377546508861,0.8258783117368975,0.8241103175517065,0.0015428741473541663,12,0.8540992799061382,0.8442494368651452,0.8435077541996168,0.8472962679267462,0.8551149709416435,0.848853541967858,0.0048769579126725455
