mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
15.0064803759257,0.96638155932504,0.004118522008260091,0.0001636426269698239,0.1,2,"{'learning_rate': 0.1, 'max_depth': 2}",0.8161017986051634,0.8318547796808666,0.8292610958065503,0.8257392246975268,0.006896462149744934,1,0.8568430829773841,0.8556864845016982,0.8585479355487803,0.8570258343426209,0.0011753082063395903
16.74245007832845,0.059622371952292995,0.0043366750081380205,0.00047249443011275683,0.1,3,"{'learning_rate': 0.1, 'max_depth': 3}",0.8170757371834088,0.8281303371883084,0.8252476277930824,0.8234845673882666,0.004682045978013883,2,0.8745397104743747,0.8682916679416175,0.8653230471692177,0.8693848085284032,0.003841261761193912
14.680140733718872,0.12952300342333362,0.0041798750559488935,0.00024922883935573156,0.30000000000000004,2,"{'learning_rate': 0.30000000000000004, 'max_depth': 2}",0.8169264651902607,0.8248499487629923,0.8225185185185184,0.8214316441572572,0.003324792714311917,3,0.868895549567056,0.868286160154218,0.8652750942107645,0.8674856013106794,0.0015827392063972653
15.149599313735962,0.05512151864319736,0.004003842671712239,7.370009816086852e-07,0.5000000000000001,2,"{'learning_rate': 0.5000000000000001, 'max_depth': 2}",0.8145442310045271,0.8239325623383595,0.8177190082644629,0.8187319338691165,0.003899119987798715,4,0.8705051116121897,0.8754836143324867,0.8759496671087297,0.8739794643511353,0.0024640950351701614
19.63503670692444,0.825288704248085,0.004003763198852539,8.485379419351666e-07,0.1,4,"{'learning_rate': 0.1, 'max_depth': 4}",0.8164468371467024,0.8196798906943834,0.8197098255280073,0.8186121844563644,0.0015311805363098666,5,0.8935510580701145,0.899031547382271,0.8898929824357781,0.8941585292960545,0.003755450109558641
22.88176091512044,1.9415480970722054,0.004272937774658203,0.0005235044789803348,0.1,5,"{'learning_rate': 0.1, 'max_depth': 5}",0.8155707818426527,0.8145391109159223,0.8199804101622282,0.8166967676402678,0.0023597764561197007,6,0.9042619174198122,0.9220317615740032,0.9035094846064895,0.9099343878667684,0.008559648619891483
17.071879943211872,0.02838286909101224,0.004336833953857422,0.0004720447033220132,0.30000000000000004,3,"{'learning_rate': 0.30000000000000004, 'max_depth': 3}",0.8138443655940291,0.8121248719074806,0.8169158249158249,0.8142950208057781,0.0019816870375092615,7,0.8881519367907753,0.8919427190110462,0.8980019193400697,0.8926988583806303,0.004056628248108463
18.84233554204305,0.49540116382260746,0.00433659553527832,0.0004718761259665186,0.30000000000000004,4,"{'learning_rate': 0.30000000000000004, 'max_depth': 4}",0.81650067294751,0.8167276631044748,0.8087284970921333,0.8139856110480395,0.0037184957973062384,8,0.9031387682022891,0.9042030537621247,0.920489718824621,0.9092771802630116,0.007940358584887812
17.010175863901775,0.17503692658501643,0.004454294840494792,0.0004142288141136815,0.5000000000000001,3,"{'learning_rate': 0.5000000000000001, 'max_depth': 3}",0.8088070475957421,0.8072378373103011,0.8087419651056015,0.808262283337215,0.0007248798425372879,9,0.9070600133213562,0.9019216058260151,0.9058762838106535,0.9049526343193417,0.0021970668604824046
15.204880396525065,0.16098802222799383,0.0038628578186035156,0.0001985960455921349,0.7000000000000001,2,"{'learning_rate': 0.7000000000000001, 'max_depth': 2}",0.8060271626085892,0.8158212560386473,0.8029115396388122,0.8082533194286828,0.00550042574241788,10,0.8700706398528539,0.8806413512438419,0.8826594160978998,0.8777904690648652,0.005520565715924582
31.98533606529236,0.6480698179798112,0.005337953567504883,0.0004717078900507154,0.1,6,"{'learning_rate': 0.1, 'max_depth': 6}",0.8037354704514865,0.8088444834821646,0.8100936639118457,0.8075578726151657,0.0027505371187156,11,0.9407077428856013,0.9333774976285915,0.9381687834181722,0.9374180079774549,0.0030392840937482884
17.524301528930664,0.21129083909993904,0.004338184992472331,0.00047226952663482016,0.9000000000000001,2,"{'learning_rate': 0.9000000000000001, 'max_depth': 2}",0.8099082344304417,0.7957888059337336,0.8061132537496174,0.8039367647045976,0.005966148600827381,12,0.8813378797044858,0.8745393347816774,0.8861502082135783,0.8806758075665805,0.004763181716720309
19.458890517552693,0.40650753401651135,0.004003763198852539,1.0115243642614567e-06,0.5000000000000001,4,"{'learning_rate': 0.5000000000000001, 'max_depth': 4}",0.8044023002569436,0.8082174401014981,0.7978781756963574,0.8034993053515996,0.004269008234485687,13,0.9280469547257205,0.9163073345368868,0.9202395693152379,0.9215312861926149,0.004878939086385732
23.22679893175761,2.366876390148599,0.004337469736735026,0.0004719323117259841,0.30000000000000004,5,"{'learning_rate': 0.30000000000000004, 'max_depth': 5}",0.8109054202863085,0.7927097057531839,0.8045558616467708,0.8027236625620877,0.007540500511998563,14,0.936620286348054,0.9378966371898045,0.9366132138805794,0.9370433791394793,0.0006033514621305625
18.73991044362386,0.9744609320612103,0.004336992899576823,0.000472100909153797,0.7000000000000001,3,"{'learning_rate': 0.7000000000000001, 'max_depth': 3}",0.8017129572984217,0.7980334748450689,0.7998310376492196,0.7998591565975701,0.0015022740068698207,15,0.9052423814674269,0.9115348367553013,0.8995535182505295,0.9054435788244192,0.004893421336212005
24.557761271794636,0.9065865844792028,0.004512468973795573,0.00040848816414548083,0.5000000000000001,5,"{'learning_rate': 0.5000000000000001, 'max_depth': 5}",0.8003340266731922,0.7942614551310203,0.7931851851851852,0.7959268889964659,0.0031471400906529176,16,0.9400804781022567,0.9326061014044856,0.9380411124842014,0.9369092306636478,0.0031546203254718738
