iter	Passed	Remaining
407	5962	8651
408	5977	8636
409	5991	8622
410	6006	8607
411	6019	8590
412	6034	8576
413	6049	8562
414	6064	8548
415	6078	8533
416	6093	8518
417	6107	8504
418	6122	8490
419	6137	8475
420	6151	8459
421	6165	8444
422	6180	8430
423	6195	8415
424	6209	8401
425	6224	8386
426	6238	8371
427	6252	8355
428	6267	8341
429	6282	8327
430	6298	8315
431	6316	8305
432	6334	8295
433	6354	8286
434	6371	8275
435	6389	8265
436	6407	8254
437	6425	8244
438	6440	8230
439	6455	8215
440	6470	8201
441	6483	8185
442	6498	8170
443	6513	8156
444	6528	8141
445	6542	8126
446	6557	8112
447	6571	8097
448	6587	8084
449	6601	8068
450	6616	8053
451	6631	8039
452	6646	8025
453	6660	8010
454	6675	7995
455	6689	7980
456	6704	7966
457	6718	7950
458	6732	7935
459	6747	7921
460	6762	7906
461	6778	7893
462	6796	7882
463	6814	7871
464	6832	7860
465	6850	7850
466	6869	7840
467	6887	7829
468	6905	7818
469	6922	7806
470	6938	7792
471	6953	7779
472	6968	7764
473	6982	7748
474	6997	7733
475	7012	7719
476	7030	7708
477	7048	7697
478	7065	7685
479	7084	7674
480	7102	7663
481	7120	7652
482	7138	7640
483	7156	7629
484	7173	7617
485	7190	7605
486	7205	7590
487	7220	7575
488	7238	7564
489	7256	7552
490	7274	7540
491	7291	7528
492	7307	7514
493	7322	7500
494	7336	7484
495	7351	7470
496	7365	7453
497	7379	7438
498	7394	7424
499	7409	7409
500	7424	7394
501	7439	7379
502	7453	7364
503	7468	7350
504	7482	7333
505	7497	7319
506	7511	7304
507	7526	7289
508	7542	7275
509	7560	7264
510	7579	7252
511	7597	7240
512	7617	7231
513	7635	7219
514	7653	7207
515	7670	7194
516	7688	7182
517	7706	7170
518	7720	7155
519	7735	7140
520	7750	7125
521	7764	7109
522	7779	7095
523	7794	7080
524	7809	7065
525	7824	7050
526	7838	7035
527	7854	7021
528	7868	7006
529	7883	6990
530	7897	6975
531	7911	6960
532	7926	6945
533	7942	6930
534	7956	6915
535	7971	6900
536	7986	6885
537	8001	6870
538	8015	6855
539	8029	6840
540	8044	6825
541	8059	6810
542	8074	6795
543	8089	6781
544	8104	6765
545	8119	6751
546	8134	6736
547	8149	6721
548	8163	6705
549	8177	6690
550	8193	6676
551	8208	6661
552	8224	6648
553	8241	6634
554	8256	6619
555	8272	6606
556	8287	6591
557	8303	6577
558	8318	6562
559	8332	6546
560	8346	6531
561	8361	6516
562	8376	6501
563	8391	6487
564	8406	6472
565	8422	6458
566	8440	6446
567	8456	6431
568	8473	6418
569	8488	6403
570	8503	6388
571	8517	6373
572	8532	6358
573	8546	6342
574	8561	6327
575	8576	6312
576	8592	6299
577	8607	6284
578	8623	6270
579	8638	6255
580	8653	6240
581	8667	6224
582	8681	6209
583	8695	6194
584	8710	6179
585	8725	6164
586	8740	6149
587	8754	6134
588	8768	6118
589	8783	6103
590	8798	6088
591	8811	6072
592	8826	6058
593	8841	6043
594	8856	6028
595	8870	6013
596	8885	5998
597	8899	5982
598	8915	5968
599	8933	5955
600	8950	5942
601	8968	5929
602	8986	5916
603	9003	5903
604	9022	5890
605	9040	5877
606	9057	5864
607	9073	5849
608	9088	5835
609	9104	5820
610	9120	5806
611	9135	5791
612	9151	5777
613	9166	5762
614	9181	5748
615	9197	5733
616	9215	5720
617	9234	5708
618	9252	5695
619	9270	5681
620	9288	5668
621	9306	5655
622	9324	5642
623	9342	5629
624	9363	5617
625	9380	5604
626	9398	5591
627	9416	5577
628	9434	5564
629	9452	5551
630	9469	5537
631	9483	5522
632	9498	5506
633	9512	5491
634	9526	5475
635	9541	5460
636	9556	5445
637	9571	5430
638	9585	5415
639	9600	5400
640	9616	5385
641	9631	5370
642	9648	5356
643	9663	5341
644	9678	5326
645	9693	5311
646	9709	5297
647	9727	5283
648	9746	5270
649	9763	5257
650	9781	5244
651	9798	5229
652	9814	5215
653	9832	5201
654	9850	5188
655	9868	5175
656	9886	5161
657	9903	5147
658	9921	5134
659	9939	5120
660	9954	5105
661	9971	5091
662	9989	5077
663	10006	5063
664	10024	5049
665	10041	5036
666	10059	5022
667	10075	5007
668	10091	4992
669	10106	4977
670	10122	4963
671	10137	4947
672	10153	4933
673	10169	4918
674	10184	4903
675	10201	4889
676	10217	4874
677	10232	4859
678	10247	4844
679	10263	4829
680	10278	4814
681	10294	4799
682	10311	4785
683	10325	4770
684	10341	4755
685	10356	4740
686	10372	4725
687	10388	4711
688	10404	4696
689	10420	4681
690	10435	4666
691	10451	4651
692	10466	4636
693	10482	4621
694	10497	4606
695	10513	4592
696	10528	4577
697	10544	4562
698	10559	4546
699	10574	4531
700	10590	4517
701	10606	4502
702	10622	4487
703	10637	4472
704	10653	4458
705	10669	4443
706	10685	4428
707	10701	4413
708	10718	4399
709	10733	4384
710	10748	4369
711	10764	4354
712	10780	4339
713	10796	4324
714	10811	4309
715	10827	4294
716	10843	4279
717	10857	4264
718	10873	4249
719	10889	4234
720	10904	4219
721	10919	4204
722	10935	4189
723	10951	4174
724	10967	4159
725	10983	4145
726	10999	4130
727	11016	4116
728	11032	4101
729	11048	4086
730	11064	4071
731	11079	4056
732	11095	4041
733	11111	4026
734	11126	4011
735	11142	3996
736	11158	3981
737	11174	3966
738	11189	3952
739	11205	3937
740	11220	3922
741	11235	3906
742	11251	3891
743	11267	3876
744	11282	3861
745	11298	3847
746	11314	3832
747	11330	3817
748	11345	3802
749	11361	3787
750	11377	3772
751	11393	3757
752	11409	3742
753	11425	3727
754	11440	3712
755	11456	3697
756	11472	3682
757	11488	3667
758	11504	3652
759	11519	3637
760	11534	3622
761	11550	3607
762	11566	3592
763	11583	3578
764	11598	3562
765	11614	3548
